;DateTime,Flow CMS/m
08/03/2016 18:49:56,0
08/03/2016 19:04:56,0
08/03/2016 19:19:56,0
08/03/2016 19:34:56,0
08/03/2016 19:49:56,0
08/03/2016 20:04:56,0
08/03/2016 20:19:56,0
08/03/2016 20:34:56,0
08/03/2016 20:49:56,0
08/03/2016 21:04:56,0
08/03/2016 21:19:56,0
08/03/2016 21:34:56,0
08/03/2016 21:49:56,0
08/03/2016 22:04:56,0
08/03/2016 22:19:56,0
08/03/2016 22:34:56,0
08/03/2016 22:49:56,0
08/03/2016 23:04:56,0
08/03/2016 23:19:56,0
08/03/2016 23:34:56,0
08/03/2016 23:49:56,0
08/04/2016 00:04:56,0
08/04/2016 00:19:56,0
08/04/2016 00:34:56,0
08/04/2016 00:49:56,0
08/04/2016 01:04:56,0
08/04/2016 01:19:56,0
08/04/2016 01:34:56,0
08/04/2016 01:49:56,0
08/04/2016 02:04:56,0
08/04/2016 02:19:56,0
08/04/2016 02:34:56,0
08/04/2016 02:49:56,0
08/04/2016 03:04:56,0
08/04/2016 03:19:56,0
08/04/2016 03:34:56,0
08/04/2016 03:49:56,0
08/04/2016 04:04:56,0
08/04/2016 04:19:56,0
08/04/2016 04:34:56,0
08/04/2016 04:49:56,0
08/04/2016 05:04:56,0
08/04/2016 05:19:56,0
08/04/2016 05:34:56,0
08/04/2016 05:49:56,0
08/04/2016 06:04:56,0
08/04/2016 06:19:56,0
08/04/2016 06:34:56,0
08/04/2016 06:49:56,0
08/04/2016 07:04:56,0
08/04/2016 07:19:56,0
08/04/2016 07:34:56,0
08/04/2016 07:49:56,0
08/04/2016 08:04:56,0
08/04/2016 08:19:56,-1.19295748661283e-06
08/04/2016 08:34:56,-5.11316010317858e-06
08/04/2016 08:49:56,-8.05110467953808e-06
08/04/2016 09:04:56,-1.00866380011292e-05
08/04/2016 09:19:56,-8.64872670140748e-06
08/04/2016 09:34:56,-6.48984778053483e-06
08/04/2016 09:49:56,-6.35925205241948e-06
08/04/2016 10:04:56,-2.98263113860195e-06
08/04/2016 10:19:56,-1.76225572353107e-06
08/04/2016 10:34:56,-2.73953425209674e-06
08/04/2016 10:49:56,-3.29747383992214e-06
08/04/2016 11:04:56,-3.49386761804987e-06
08/04/2016 11:19:56,-3.37548978661298e-06
08/04/2016 11:34:56,-2.97970848250579e-06
08/04/2016 11:49:56,-2.34362059267915e-06
08/04/2016 12:04:56,-1.50432287000013e-06
08/04/2016 12:19:56,-4.95414755108574e-07
08/04/2016 12:34:56,0
08/04/2016 12:49:56,-6.08436654516164e-07
08/04/2016 13:04:56,0
08/04/2016 13:19:56,0
08/04/2016 13:34:56,0
08/04/2016 13:49:56,0
