;DateTime,Flow CMS/m
08/06/2016 04:57:05,0
08/06/2016 05:12:05,0
08/06/2016 05:27:05,0
08/06/2016 05:42:05,0
08/06/2016 05:57:05,0
08/06/2016 06:12:05,0
08/06/2016 06:27:05,0
08/06/2016 06:42:05,0
08/06/2016 06:57:05,0
08/06/2016 07:12:05,0
08/06/2016 07:27:05,0
08/06/2016 07:42:05,0
08/06/2016 07:57:05,0
08/06/2016 08:12:05,0
08/06/2016 08:27:05,0
08/06/2016 08:42:05,0
08/06/2016 08:57:05,0
08/06/2016 09:12:05,0
08/06/2016 09:27:05,0
08/06/2016 09:42:05,0
08/06/2016 09:57:05,0
08/06/2016 10:12:05,0
08/06/2016 10:27:05,0
08/06/2016 10:42:05,0
08/06/2016 10:57:05,0
08/06/2016 11:12:05,0
08/06/2016 11:27:05,0
08/06/2016 11:42:05,0
08/06/2016 11:57:05,0
08/06/2016 12:12:05,0
08/06/2016 12:27:05,0
08/06/2016 12:42:05,0
08/06/2016 12:57:05,0
08/06/2016 13:12:05,0
08/06/2016 13:27:05,0
08/06/2016 13:42:05,0
08/06/2016 13:57:05,0
08/06/2016 14:12:05,0
08/06/2016 14:27:05,0
08/06/2016 14:42:05,0
08/06/2016 14:57:05,0
08/06/2016 15:12:05,0
08/06/2016 15:27:05,0
08/06/2016 15:42:05,0
08/06/2016 15:57:05,0
08/06/2016 16:12:05,-9.93465195366601e-06
08/06/2016 16:27:05,-0.000168816621875204
08/06/2016 16:42:05,-0.000296539849225205
08/06/2016 16:57:05,-0.000393606618152493
08/06/2016 17:12:05,-0.000466140837668183
08/06/2016 17:27:05,-0.00050028883230825
08/06/2016 17:42:05,-0.00051025510176393
08/06/2016 17:57:05,-0.000516487605608447
08/06/2016 18:12:05,-0.000508799323204927
08/06/2016 18:27:05,-0.000490216618249267
08/06/2016 18:42:05,-0.000463333344927125
08/06/2016 18:57:05,-0.000430287320554214
08/06/2016 19:12:05,-0.000399938351756012
08/06/2016 19:27:05,-0.000373537158247391
08/06/2016 19:42:05,-0.000351840380677555
08/06/2016 19:57:05,-0.00032086444422522
08/06/2016 20:12:05,-0.000295999157436819
08/06/2016 20:27:05,-0.000277625269144216
08/06/2016 20:42:05,-0.000251475153728153
08/06/2016 20:57:05,-0.000232379622489173
08/06/2016 21:12:05,-0.000220499074017549
08/06/2016 21:27:05,-0.000201924322268915
08/06/2016 21:42:05,-0.000176875214795113
08/06/2016 21:57:05,-0.000159152613508427
08/06/2016 22:12:05,-0.000141936938612024
08/06/2016 22:27:05,-0.00012521995380701
08/06/2016 22:42:05,-0.000109237661710259
08/06/2016 22:57:05,-9.38728322536656e-05
08/06/2016 23:12:05,-8.57790182205234e-05
08/06/2016 23:27:05,-7.83975391675346e-05
08/06/2016 23:42:05,-6.55228370475075e-05
08/06/2016 23:57:05,-5.3554451355735e-05
08/07/2016 00:12:05,-4.87570721342761e-05
08/07/2016 00:27:05,-3.87302686252201e-05
08/07/2016 00:42:05,-2.95301096652833e-05
08/07/2016 00:57:05,-2.12097890447803e-05
08/07/2016 01:12:05,-1.36076095935485e-05
08/07/2016 01:27:05,-6.8681660302803e-06
08/07/2016 01:42:05,0
08/07/2016 01:57:05,0
08/07/2016 02:12:05,0
08/07/2016 02:27:05,0
