;DateTime,Heat (WATT/m)
08/03/2016 21:06:12,16444.114425442
08/03/2016 21:21:12,16246.6899868077
08/03/2016 21:36:12,16122.9867820803
08/03/2016 21:51:12,15533.3482593682
08/03/2016 22:06:12,15017.6417681984
08/03/2016 22:21:12,15121.6625720561
08/03/2016 22:36:12,15302.6476741902
08/03/2016 22:51:12,14982.2264780191
08/03/2016 23:06:12,14085.1015291045
08/03/2016 23:21:12,13233.2153181878
08/03/2016 23:36:12,13576.5886875724
08/03/2016 23:51:12,13955.0176573231
08/04/2016 00:06:12,13293.9027290391
08/04/2016 00:21:12,12657.1367818778
08/04/2016 00:36:12,12569.1149128222
08/04/2016 00:51:12,12501.8807737018
08/04/2016 01:06:12,12456.5283933238
08/04/2016 01:21:12,12430.781559742
08/04/2016 01:36:12,11894.6180572045
08/04/2016 01:51:12,11891.9556065114
08/04/2016 02:06:12,11903.2418991319
08/04/2016 02:21:12,11925.0809422742
08/04/2016 02:36:12,11950.1700604559
08/04/2016 02:51:12,11467.428889572
08/04/2016 03:06:12,10997.3071295665
08/04/2016 03:21:12,11040.2674171003
08/04/2016 03:36:12,11084.9773567908
08/04/2016 03:51:12,11129.0016061952
08/04/2016 04:06:12,11170.8978873514
08/04/2016 04:21:12,10710.2468331255
08/04/2016 04:36:12,10754.6027568919
08/04/2016 04:51:12,10793.9073644552
08/04/2016 05:06:12,10829.481537846
08/04/2016 05:21:12,10861.7000356611
08/04/2016 05:36:12,10890.5426235089
08/04/2016 05:51:12,10985.6704038351
08/04/2016 06:06:12,10578.7131062228
08/04/2016 06:21:12,10595.2436074226
08/04/2016 06:36:12,11101.4810358585
08/04/2016 06:51:12,11099.964633053
08/04/2016 07:06:12,10668.1816919953
08/04/2016 07:21:12,10723.0530150365
08/04/2016 07:36:12,11193.5731927028
08/04/2016 07:51:12,11168.508398989
08/04/2016 08:06:12,11135.3885374156
08/04/2016 08:21:12,11582.1380435526
08/04/2016 08:36:12,11531.6888573913
08/04/2016 08:51:12,11463.6289251397
08/04/2016 09:06:12,11857.2755273544
08/04/2016 09:21:12,11798.8537632435
08/04/2016 09:36:12,11745.2584785264
08/04/2016 09:51:12,12112.3788410191
08/04/2016 10:06:12,12443.5020672315
08/04/2016 10:21:12,12764.8208533862
08/04/2016 10:36:12,13433.4761210508
08/04/2016 10:51:12,14042.2410869637
08/04/2016 11:06:12,14677.7827933366
08/04/2016 11:21:12,15765.2366418856
08/04/2016 11:36:12,16324.6203883048
08/04/2016 11:51:12,17191.9133765676
08/04/2016 12:06:12,18454.5302183919
08/04/2016 12:21:12,19609.3502791545
08/04/2016 12:36:12,20626.7404075276
