;DateTime,Heat (WATT/m)
08/03/2016 17:36:25,16687.3615083415
08/03/2016 17:51:25,16454.3111118502
08/03/2016 18:06:25,16315.2971839526
08/03/2016 18:21:25,15726.2540270948
08/03/2016 18:36:25,15208.6066298592
08/03/2016 18:51:25,15313.2569766656
08/03/2016 19:06:25,15484.6350354428
08/03/2016 19:21:25,15162.3498068347
08/03/2016 19:36:25,14264.5782927107
08/03/2016 19:51:25,13415.5524323757
08/03/2016 20:06:25,13778.4132307891
08/03/2016 20:21:25,14178.7529673945
08/03/2016 20:36:25,13519.9290889916
08/03/2016 20:51:25,12891.9033995349
08/03/2016 21:06:25,12834.9841622457
08/03/2016 21:21:25,12801.8117791142
08/03/2016 21:36:25,12786.0334287257
08/03/2016 21:51:25,12788.3677904192
08/03/2016 22:06:25,12268.5934505063
08/03/2016 22:21:25,12313.6146571649
08/03/2016 22:36:25,12380.5146168061
08/03/2016 22:51:25,12440.4921935698
08/03/2016 23:06:25,12496.0830695191
08/03/2016 23:21:25,12014.4514397742
08/03/2016 23:36:25,11535.465980575
08/03/2016 23:51:25,11592.8905379122
08/04/2016 00:06:25,11648.1091462564
08/04/2016 00:21:25,11693.9810619256
08/04/2016 00:36:25,11725.058889991
08/04/2016 00:51:25,11220.4723021335
08/04/2016 01:06:25,11245.3698225426
08/04/2016 01:21:25,11268.7303116522
08/04/2016 01:36:25,11285.910059414
08/04/2016 01:51:25,11295.5875230514
08/04/2016 02:06:25,11305.2732803242
08/04/2016 02:21:25,11386.6680788287
08/04/2016 02:36:25,10944.0678725893
08/04/2016 02:51:25,10941.1071449612
08/04/2016 03:06:25,11450.6939811243
08/04/2016 03:21:25,11438.2725480382
08/04/2016 03:36:25,10983.5694975286
08/04/2016 03:51:25,11029.8965596523
08/04/2016 04:06:25,11499.9428085837
08/04/2016 04:21:25,11457.8758679663
08/04/2016 04:36:25,11405.7939973813
08/04/2016 04:51:25,11842.6014356326
08/04/2016 05:06:25,11761.9569458189
08/04/2016 05:21:25,11666.96343772
08/04/2016 05:36:25,12055.5251700764
08/04/2016 05:51:25,11995.1155824743
08/04/2016 06:06:25,11914.4109992855
08/04/2016 06:21:25,12235.7471353781
08/04/2016 06:36:25,12525.0372094392
08/04/2016 06:51:25,12774.1260446305
08/04/2016 07:06:25,13405.4230725274
08/04/2016 07:21:25,13985.162345057
08/04/2016 07:36:25,14578.2562842798
08/04/2016 07:51:25,15602.5461836951
08/04/2016 08:06:25,16054.386391068
08/04/2016 08:21:25,16830.5108510577
08/04/2016 08:36:25,17997.7347923543
08/04/2016 08:51:25,19031.9345894154
08/04/2016 09:06:25,19898.6237342797
08/04/2016 09:21:25,20655.5655923035
08/04/2016 09:36:25,21780.9764507154
08/04/2016 09:51:25,22774.3378458372
08/04/2016 10:06:25,23582.1727850325
08/04/2016 10:21:25,24263.4151857596
08/04/2016 10:36:25,24221.6275274011
08/04/2016 10:51:25,24589.6872563301
08/04/2016 11:06:25,24868.9692800514
08/04/2016 11:21:25,24612.0505498526
08/04/2016 11:36:25,24949.0120778026
08/04/2016 11:51:25,24660.8877718859
08/04/2016 12:06:25,24395.1258416127
08/04/2016 12:21:25,24274.8593908382
08/04/2016 12:36:25,23658.6779675558
08/04/2016 12:51:25,22579.8820741977
08/04/2016 13:06:25,21705.545040476
08/04/2016 13:21:25,21545.2066012411
08/04/2016 13:36:25,21381.9065191141
08/04/2016 13:51:25,20825.0095910149
08/04/2016 14:06:25,20002.4972102814
08/04/2016 14:21:25,19146.8277341815
08/04/2016 14:36:25,19101.6097042158
08/04/2016 14:51:25,18637.143860694
08/04/2016 15:06:25,17570.292552941
08/04/2016 15:21:25,17249.2890208268
08/04/2016 15:36:25,16964.4469212137
08/04/2016 15:51:25,16303.8616677636
08/04/2016 16:06:25,15779.9165987598
08/04/2016 16:21:25,15263.8686718025
08/04/2016 16:36:25,14804.5045606202
08/04/2016 16:51:25,14444.1966335412
08/04/2016 17:06:25,14200.1029725632
08/04/2016 17:21:25,14011.0497451701
08/04/2016 17:36:25,13276.7780046833
08/04/2016 17:51:25,13181.9453853873
08/04/2016 18:06:25,13155.08155057
08/04/2016 18:21:25,13164.4918516733
08/04/2016 18:36:25,12611.7475801907
08/04/2016 18:51:25,12107.3305751977
08/04/2016 19:06:25,12181.3015652583
08/04/2016 19:21:25,11739.3118722653
08/04/2016 19:36:25,11936.1323872359
08/04/2016 19:51:25,12070.4203668477
08/04/2016 20:06:25,12215.5843432257
08/04/2016 20:21:25,11907.2465750362
08/04/2016 20:36:25,11609.6815523433
08/04/2016 20:51:25,11781.6523227376
08/04/2016 21:06:25,11420.2731672734
08/04/2016 21:21:25,11138.7908158622
08/04/2016 21:36:25,10862.8535179103
08/04/2016 21:51:25,10589.3295505985
08/04/2016 22:06:25,10850.0338007265
08/04/2016 22:21:25,11109.2280367348
08/04/2016 22:36:25,10829.2305485176
08/04/2016 22:51:25,10550.0660588422
08/04/2016 23:06:25,10261.2053381502
08/04/2016 23:21:25,10494.3212830247
08/04/2016 23:36:25,10729.4829072538
08/04/2016 23:51:25,10426.4807606319
08/05/2016 00:06:25,10645.4746520865
08/05/2016 00:21:25,10854.3292679019
08/05/2016 00:36:25,10523.5234190698
08/05/2016 00:51:25,10713.6043923301
08/05/2016 01:06:25,10894.702517592
08/05/2016 01:21:25,10535.3383444427
08/05/2016 01:36:25,10157.4480497485
08/05/2016 01:51:25,10290.8521485865
08/05/2016 02:06:25,10938.6747820608
08/05/2016 02:21:25,11125.736992676
08/05/2016 02:36:25,10780.4835283872
08/05/2016 02:51:25,10353.4417899739
08/05/2016 03:06:25,10000.3357622182
08/05/2016 03:21:25,10151.6222145922
08/05/2016 03:36:25,10728.916270335
08/05/2016 03:51:25,10786.7102890057
08/05/2016 04:06:25,10327.7920231469
08/05/2016 04:21:25,9932.81917231671
08/05/2016 04:36:25,10033.3205597095
08/05/2016 04:51:25,10981.9940412215
08/05/2016 05:06:25,11483.9914925731
08/05/2016 05:21:25,11040.3114240896
08/05/2016 05:36:25,11010.2116879287
08/05/2016 05:51:25,11466.2160511895
08/05/2016 06:06:25,11483.5202311151
08/05/2016 06:21:25,10985.1689668946
08/05/2016 06:36:25,10899.2203231154
08/05/2016 06:51:25,11297.6205163051
08/05/2016 07:06:25,11255.6191079813
08/05/2016 07:21:25,11199.8415192216
08/05/2016 07:36:25,11556.48167383
08/05/2016 07:51:25,11902.9956968995
08/05/2016 08:06:25,12232.587668666
08/05/2016 08:21:25,12048.2386490287
08/05/2016 08:36:25,11846.3000143341
08/05/2016 08:51:25,12110.505923292
08/05/2016 09:06:25,12333.3320925145
08/05/2016 09:21:25,13019.6546104336
08/05/2016 09:36:25,13672.6119151647
08/05/2016 09:51:25,13817.5858461328
08/05/2016 10:06:25,13953.6358208453
08/05/2016 10:21:25,14458.4432089615
08/05/2016 10:36:25,14910.3899196518
08/05/2016 10:51:25,15335.2217602593
08/05/2016 11:06:25,16126.7317248085
08/05/2016 11:21:25,16886.8422902673
08/05/2016 11:36:25,17559.6885936231
08/05/2016 11:51:25,18066.0519533471
08/05/2016 12:06:25,18974.5252311847
08/05/2016 12:21:25,19842.6382394085
08/05/2016 12:36:25,20548.2814246825
08/05/2016 12:51:25,21185.4359860078
08/05/2016 13:06:25,21287.4996158783
08/05/2016 13:21:25,21899.9952789071
08/05/2016 13:36:25,21887.2560684211
08/05/2016 13:51:25,21714.4965759005
08/05/2016 14:06:25,22104.4498428421
08/05/2016 14:21:25,21936.1463014795
08/05/2016 14:36:25,21821.0351530769
08/05/2016 14:51:25,21731.3966336196
08/05/2016 15:06:25,21507.0534329739
08/05/2016 15:21:25,21457.0182846389
08/05/2016 15:36:25,21245.2675671801
08/05/2016 15:51:25,20580.1554027675
08/05/2016 16:06:25,20153.0942016153
08/05/2016 16:21:25,19723.6703830504
08/05/2016 16:36:25,18906.0729709328
08/05/2016 16:51:25,18261.54374652
08/05/2016 17:06:25,17586.4967585428
08/05/2016 17:21:25,17576.5663780136
08/05/2016 17:36:25,17655.4837567778
08/05/2016 17:51:25,17274.3245334583
08/05/2016 18:06:25,16411.2930608083
08/05/2016 18:21:25,15626.3522808965
08/05/2016 18:36:25,15476.531408954
08/05/2016 18:51:25,15413.2360526708
08/05/2016 19:06:25,14887.8804893437
08/05/2016 19:21:25,14422.1085914207
08/05/2016 19:36:25,14016.6486461483
08/05/2016 19:51:25,13661.4003384605
08/05/2016 20:06:25,13892.5345434032
08/05/2016 20:21:25,13621.7771265418
08/05/2016 20:36:25,12845.6409286626
08/05/2016 20:51:25,12646.5452335806
08/05/2016 21:06:25,13020.6526162273
08/05/2016 21:21:25,12340.4903860485
08/05/2016 21:36:25,11690.5842127858
08/05/2016 21:51:25,12142.1081593284
08/05/2016 22:06:25,12069.2554049337
08/05/2016 22:21:25,12015.5081903921
08/05/2016 22:36:25,11976.0869115313
