;DateTime,Heat (WATT/m)
08/03/2016 18:02:38,16596.1406200384
08/03/2016 18:17:38,16403.0585600689
08/03/2016 18:32:38,16284.2085137244
08/03/2016 18:47:38,15703.9855624625
08/03/2016 19:02:38,15201.6151352432
08/03/2016 19:17:38,15308.7796322159
08/03/2016 19:32:38,15470.5557778373
08/03/2016 19:47:38,15146.4263366394
08/03/2016 20:02:38,14249.5017527583
08/03/2016 20:17:38,13401.5357595035
08/03/2016 20:32:38,13757.7430399343
08/03/2016 20:47:38,14151.1671465686
08/03/2016 21:02:38,13490.9712171736
08/03/2016 21:17:38,12863.7451194339
08/03/2016 21:32:38,12803.741096595
08/03/2016 21:47:38,12766.2674532708
08/03/2016 22:02:38,12754.3570510525
08/03/2016 22:17:38,12763.4652996178
08/03/2016 22:32:38,12272.9888594003
08/03/2016 22:47:38,12318.776511089
08/03/2016 23:02:38,12362.0775061042
08/03/2016 23:17:38,12408.6325220798
08/03/2016 23:32:38,12460.8449832285
08/03/2016 23:47:38,11978.0464114569
08/04/2016 00:02:38,11496.7378755798
08/04/2016 00:17:38,11548.171986319
08/04/2016 00:32:38,11584.0952548286
08/04/2016 00:47:38,11613.9012465868
08/04/2016 01:02:38,11642.4723180107
08/04/2016 01:17:38,11144.1189391862
08/04/2016 01:32:38,11171.3910013976
08/04/2016 01:47:38,11188.61677476
08/04/2016 02:02:38,11206.074447522
08/04/2016 02:17:38,11222.8012148825
08/04/2016 02:32:38,11235.0124319941
08/04/2016 02:47:38,11312.3853089111
08/04/2016 03:02:38,10882.7921031028
08/04/2016 03:17:38,10885.9670311957
08/04/2016 03:32:38,11393.3258432367
08/04/2016 03:47:38,11384.5412559549
08/04/2016 04:02:38,10930.9235703036
08/04/2016 04:17:38,10981.3956626793
08/04/2016 04:32:38,11457.6027457164
08/04/2016 04:47:38,11415.4190989074
08/04/2016 05:02:38,11362.4773634984
08/04/2016 05:17:38,11798.0481638936
08/04/2016 05:32:38,11720.2612683232
08/04/2016 05:47:38,11625.4807871898
08/04/2016 06:02:38,12014.9697101005
08/04/2016 06:17:38,11957.4846179781
08/04/2016 06:32:38,11880.3409293201
08/04/2016 06:47:38,12196.4652007772
08/04/2016 07:02:38,12482.9812640143
08/04/2016 07:17:38,12733.33207839
08/04/2016 07:32:38,13365.5681732845
08/04/2016 07:47:38,13954.7695029902
08/04/2016 08:02:38,14563.148765538
08/04/2016 08:17:38,15588.1315318507
08/04/2016 08:32:38,16049.9319675261
08/04/2016 08:47:38,16839.8439894372
08/04/2016 09:02:38,17987.9974134275
08/04/2016 09:17:38,18987.3259776204
08/04/2016 09:32:38,19847.6416214242
08/04/2016 09:47:38,20716.0875701276
08/04/2016 10:02:38,21850.4545686608
08/04/2016 10:17:38,22891.5107831436
08/04/2016 10:32:38,23700.5265527759
08/04/2016 10:47:38,24278.5454712675
08/04/2016 11:02:38,24257.1282513527
08/04/2016 11:17:38,24649.1724779541
08/04/2016 11:32:38,25058.1799037952
08/04/2016 11:47:38,24834.8392910809
08/04/2016 12:02:38,25124.9671398276
08/04/2016 12:17:38,24854.0501362952
08/04/2016 12:32:38,24607.2366444558
08/04/2016 12:47:38,24498.7761189703
08/04/2016 13:02:38,23922.8970188904
08/04/2016 13:17:38,22841.3140835811
08/04/2016 13:32:38,21919.7415157136
08/04/2016 13:47:38,21644.1989508213
08/04/2016 14:02:38,21709.6559510655
08/04/2016 14:17:38,21127.5286189537
08/04/2016 14:32:38,20093.8801947683
08/04/2016 14:47:38,19431.3819678903
08/04/2016 15:02:38,19284.7416312885
08/04/2016 15:17:38,18750.2475923636
08/04/2016 15:32:38,17585.7114470887
08/04/2016 15:47:38,17211.1125570813
08/04/2016 16:02:38,17021.0205188816
08/04/2016 16:17:38,16379.7057507759
08/04/2016 16:32:38,15835.5621574837
08/04/2016 16:47:38,15263.2250513473
08/04/2016 17:02:38,14893.1929960259
08/04/2016 17:17:38,14499.4321242872
08/04/2016 17:32:38,14146.1970938964
08/04/2016 17:47:38,14036.1055586986
08/04/2016 18:02:38,13284.0493930221
08/04/2016 18:17:38,13114.6737376477
08/04/2016 18:32:38,13094.5131060296
08/04/2016 18:47:38,13135.1293650744
08/04/2016 19:02:38,12601.1825608352
08/04/2016 19:17:38,12105.3624064598
08/04/2016 19:32:38,12178.884082346
08/04/2016 19:47:38,11731.6642429797
08/04/2016 20:02:38,11922.2986924573
08/04/2016 20:17:38,12049.0290765572
08/04/2016 20:32:38,12193.8444572731
08/04/2016 20:47:38,11883.8823619359
08/04/2016 21:02:38,11586.4232034668
08/04/2016 21:17:38,11757.1197896796
08/04/2016 21:32:38,11396.4142710376
08/04/2016 21:47:38,11122.0128980343
08/04/2016 22:02:38,10844.2859503304
08/04/2016 22:17:38,10569.0901196566
08/04/2016 22:32:38,10829.0958296276
08/04/2016 22:47:38,11090.1157569081
08/04/2016 23:02:38,10814.663445023
08/04/2016 23:17:38,10519.4761992211
08/04/2016 23:32:38,10230.8324942933
08/04/2016 23:47:38,10474.6423763076
08/05/2016 00:02:38,10708.462398618
08/05/2016 00:17:38,10400.0155329831
08/05/2016 00:32:38,10616.7030477062
08/05/2016 00:47:38,10822.6689075875
08/05/2016 01:02:38,10491.195264077
08/05/2016 01:17:38,10678.401789093
08/05/2016 01:32:38,10847.3672226003
08/05/2016 01:47:38,10470.7749559274
08/05/2016 02:02:38,10092.1374182199
08/05/2016 02:17:38,10224.6832594798
08/05/2016 02:32:38,10865.6130296382
08/05/2016 02:47:38,11042.8114181539
08/05/2016 03:02:38,10706.5834795579
08/05/2016 03:17:38,10291.788835544
08/05/2016 03:32:38,9941.51099596009
08/05/2016 03:47:38,10094.4440779752
08/05/2016 04:02:38,10675.5255224772
08/05/2016 04:17:38,10737.6256616294
08/05/2016 04:32:38,10286.2247972687
08/05/2016 04:47:38,9892.98866912539
08/05/2016 05:02:38,9991.96579637306
08/05/2016 05:17:38,10940.8878645387
08/05/2016 05:32:38,11441.2541220984
08/05/2016 05:47:38,10993.7602903727
08/05/2016 06:02:38,10969.0156045647
08/05/2016 06:17:38,11425.5051391602
08/05/2016 06:32:38,11437.125479448
08/05/2016 06:47:38,10944.7637342246
08/05/2016 07:02:38,10862.9389156013
08/05/2016 07:17:38,11261.5698308418
08/05/2016 07:32:38,11225.9619162939
08/05/2016 07:47:38,11183.3173678485
08/05/2016 08:02:38,11549.4158006456
08/05/2016 08:17:38,11896.320946046
08/05/2016 08:32:38,12226.7975354605
08/05/2016 08:47:38,12050.2069659531
08/05/2016 09:02:38,11835.9050714389
08/05/2016 09:17:38,12085.2223638669
08/05/2016 09:32:38,12317.8477019159
08/05/2016 09:47:38,13007.3532060799
08/05/2016 10:02:38,13724.726633962
08/05/2016 10:17:38,13895.5567081289
08/05/2016 10:32:38,14038.581071678
08/05/2016 10:47:38,14526.3680873769
08/05/2016 11:02:38,14942.021182454
08/05/2016 11:17:38,15427.8149180604
08/05/2016 11:32:38,16270.7080615587
08/05/2016 11:47:38,17008.934883169
08/05/2016 12:02:38,17563.8741411124
08/05/2016 12:17:38,18177.5456927143
08/05/2016 12:32:38,19076.235304787
08/05/2016 12:47:38,19945.1067119914
08/05/2016 13:02:38,20672.3510926325
08/05/2016 13:17:38,21386.3305508258
08/05/2016 13:32:38,21594.5719876763
08/05/2016 13:47:38,22085.7891705843
08/05/2016 14:02:38,22025.860509956
08/05/2016 14:17:38,21997.287036279
08/05/2016 14:32:38,22325.9945855324
08/05/2016 14:47:38,22390.0425364247
08/05/2016 15:02:38,22014.6088488806
08/05/2016 15:17:38,21942.8295414606
08/05/2016 15:32:38,21663.2164732875
08/05/2016 15:47:38,21310.5506249755
08/05/2016 16:02:38,21268.2034471431
08/05/2016 16:17:38,20694.6521911929
08/05/2016 16:32:38,20131.9040081414
08/05/2016 16:47:38,19910.5015777614
08/05/2016 17:02:38,19017.5380226692
08/05/2016 17:17:38,18263.4998386323
08/05/2016 17:32:38,17595.476634449
08/05/2016 17:47:38,17575.6424542038
08/05/2016 18:02:38,17630.1481197539
08/05/2016 18:17:38,17211.5930922607
08/05/2016 18:32:38,16354.7179190131
08/05/2016 18:47:38,15588.22338235
08/05/2016 19:02:38,15468.1623962879
08/05/2016 19:17:38,15414.357106991
08/05/2016 19:32:38,14889.1049279515
08/05/2016 19:47:38,14425.2460824512
08/05/2016 20:02:38,14011.6978861357
08/05/2016 20:17:38,13648.0402278879
08/05/2016 20:32:38,13875.0135243291
08/05/2016 20:47:38,13599.2272572797
08/05/2016 21:02:38,12822.8540820408
08/05/2016 21:17:38,12621.328089625
08/05/2016 21:32:38,12998.1244011453
08/05/2016 21:47:38,12323.1736739994
08/05/2016 22:02:38,11668.4482234961
08/05/2016 22:17:38,12114.9814698651
08/05/2016 22:32:38,12043.7149040583
08/05/2016 22:47:38,11989.4038671014
08/05/2016 23:02:38,11975.5886897242
08/05/2016 23:17:38,11415.9616998014
08/05/2016 23:32:38,10863.0315210168
08/05/2016 23:47:38,10855.3268460739
08/06/2016 00:02:38,11393.8538842845
08/06/2016 00:17:38,11405.1779002357
08/06/2016 00:32:38,10883.7024100611
08/06/2016 00:47:38,10366.7751056049
08/06/2016 01:02:38,10379.9258892644
08/06/2016 01:17:38,10909.737799849
08/06/2016 01:32:38,10906.0933447602
08/06/2016 01:47:38,10896.996327028
08/06/2016 02:02:38,10961.1557383738
08/06/2016 02:17:38,10506.1327015731
08/06/2016 02:32:38,10495.8799360016
08/06/2016 02:47:38,10483.1162891509
08/06/2016 03:02:38,10469.4528288902
08/06/2016 03:17:38,10520.5284991832
08/06/2016 03:32:38,10567.4068908345
08/06/2016 03:47:38,11045.3060000616
08/06/2016 04:02:38,11004.9798343739
08/06/2016 04:17:38,10951.6348343211
08/06/2016 04:32:38,11399.4919692153
08/06/2016 04:47:38,11834.3085588204
08/06/2016 05:02:38,12256.3236125928
08/06/2016 05:17:38,12160.617734436
08/06/2016 05:32:38,12051.9833717148
08/06/2016 05:47:38,12432.9490596243
08/06/2016 06:02:38,12369.8129402215
08/06/2016 06:17:38,12283.5578303962
08/06/2016 06:32:38,12612.8882384823
08/06/2016 06:47:38,12921.8684769239
08/06/2016 07:02:38,13198.9553358893
08/06/2016 07:17:38,13444.0503574759
08/06/2016 07:32:38,13659.0313818705
