;DateTime,Heat (WATT/m)
08/03/2016 17:10:12,16715.1171921968
08/03/2016 17:25:12,16531.9297848671
08/03/2016 17:40:12,16395.7588865349
08/03/2016 17:55:12,15766.3738995986
08/03/2016 18:10:12,15236.9278039053
08/03/2016 18:25:12,15330.1445715113
08/03/2016 18:40:12,15489.6822353206
08/03/2016 18:55:12,15169.4152016006
08/03/2016 19:10:12,14278.9121606195
08/03/2016 19:25:12,13429.4468722466
08/03/2016 19:40:12,13792.8842342121
08/03/2016 19:55:12,14194.8192282985
08/03/2016 20:10:12,13542.4943989102
08/03/2016 20:25:12,12917.8596979027
08/03/2016 20:40:12,12862.745908982
08/03/2016 20:55:12,12830.3531309906
08/03/2016 21:10:12,12818.976090802
08/03/2016 21:25:12,12823.2714942492
08/03/2016 21:40:12,12298.1936879571
08/03/2016 21:55:12,12330.0655773952
08/03/2016 22:10:12,12371.7362416012
08/03/2016 22:25:12,12442.7228734719
08/03/2016 22:40:12,12519.6201388523
08/03/2016 22:55:12,12046.5613643387
08/03/2016 23:10:12,11568.5641952703
08/03/2016 23:25:12,11629.2597890061
08/03/2016 23:40:12,11688.3054134568
08/03/2016 23:55:12,11744.0235675126
08/04/2016 00:10:12,11795.8076906953
08/04/2016 00:25:12,11299.1044498989
08/04/2016 00:40:12,11324.4830502559
08/04/2016 00:55:12,11344.7145322886
08/04/2016 01:10:12,11362.0298941541
08/04/2016 01:25:12,11377.4813205756
08/04/2016 01:40:12,11383.5439207234
08/04/2016 01:55:12,11459.0650604798
08/04/2016 02:10:12,11013.8598166565
08/04/2016 02:25:12,11010.9835675972
08/04/2016 02:40:12,11511.9417208331
08/04/2016 02:55:12,11496.5416516377
08/04/2016 03:10:12,11037.7024313879
08/04/2016 03:25:12,11082.0859821641
08/04/2016 03:40:12,11554.8737989596
08/04/2016 03:55:12,11505.5766667324
08/04/2016 04:10:12,11447.4793927338
08/04/2016 04:25:12,11887.2788223852
08/04/2016 04:40:12,11806.7206188963
08/04/2016 04:55:12,11710.3410194721
08/04/2016 05:10:12,12098.2292091762
08/04/2016 05:25:12,12037.6262477138
08/04/2016 05:40:12,11953.7188490842
08/04/2016 05:55:12,12273.1023592778
08/04/2016 06:10:12,12561.6266572807
08/04/2016 06:25:12,12816.6200447597
08/04/2016 06:40:12,13449.7905650919
08/04/2016 06:55:12,14029.498405885
08/04/2016 07:10:12,14619.1928409686
08/04/2016 07:25:12,15630.6646393648
08/04/2016 07:40:12,16069.6400544648
08/04/2016 07:55:12,16844.7486555119
08/04/2016 08:10:12,17996.2741855153
08/04/2016 08:25:12,19024.714198297
08/04/2016 08:40:12,19920.3758465934
08/04/2016 08:55:12,20713.5459312372
08/04/2016 09:10:12,21804.3955210966
08/04/2016 09:25:12,22694.6522448051
08/04/2016 09:40:12,23504.6022647556
08/04/2016 09:55:12,24123.2601792798
08/04/2016 10:10:12,24136.8355919542
08/04/2016 10:25:12,24576.5074225264
08/04/2016 10:40:12,24825.2368511007
08/04/2016 10:55:12,24523.7991267722
08/04/2016 11:10:12,24732.5139565501
08/04/2016 11:25:12,24459.2944333587
08/04/2016 11:40:12,24221.9946707837
08/04/2016 11:55:12,24077.7810079875
08/04/2016 12:10:12,23453.40684695
08/04/2016 12:25:12,22361.5503473375
08/04/2016 12:40:12,21459.1381972396
08/04/2016 12:55:12,21301.5152787874
08/04/2016 13:10:12,21216.5018637722
08/04/2016 13:25:12,20684.2718454898
08/04/2016 13:40:12,19661.3291045578
08/04/2016 13:55:12,18953.2223836129
08/04/2016 14:10:12,18967.5419745618
08/04/2016 14:25:12,18359.7057218709
08/04/2016 14:40:12,17442.3590703763
08/04/2016 14:55:12,17154.6167986479
08/04/2016 15:10:12,16984.5433384211
08/04/2016 15:25:12,16313.0217246654
08/04/2016 15:40:12,15714.6069726797
08/04/2016 15:55:12,15196.1406508767
08/04/2016 16:10:12,14771.4076272425
08/04/2016 16:25:12,14427.3556442531
08/04/2016 16:40:12,14103.7167066654
08/04/2016 16:55:12,14001.6346154259
08/04/2016 17:10:12,13312.1384490657
08/04/2016 17:25:12,13147.5206742554
08/04/2016 17:40:12,13176.6020828452
08/04/2016 17:55:12,13234.4521566797
08/04/2016 18:10:12,12660.6044127407
08/04/2016 18:25:12,12128.5432483994
08/04/2016 18:40:12,12188.6169825752
08/04/2016 18:55:12,11740.6621292616
08/04/2016 19:10:12,11940.0165978101
08/04/2016 19:25:12,12079.9185115621
08/04/2016 19:40:12,12232.1883451446
08/04/2016 19:55:12,11928.8640714072
08/04/2016 20:10:12,11630.5715267775
08/04/2016 20:25:12,11805.3849583173
08/04/2016 20:40:12,11443.1141952491
08/04/2016 20:55:12,11162.6634050452
08/04/2016 21:10:12,10883.6877934477
08/04/2016 21:25:12,10605.1392728279
08/04/2016 21:40:12,10869.8329312306
08/04/2016 21:55:12,11130.4190267243
08/04/2016 22:10:12,10850.0870432819
08/04/2016 22:25:12,10566.0452900524
08/04/2016 22:40:12,10278.8327954397
08/04/2016 22:55:12,10527.640445464
08/04/2016 23:10:12,10757.0134603571
08/04/2016 23:25:12,10445.4854234263
08/04/2016 23:40:12,10668.3606727332
08/04/2016 23:55:12,10882.7523852365
08/05/2016 00:10:12,10552.4822317284
08/05/2016 00:25:12,10745.6562186976
08/05/2016 00:40:12,10928.4670975669
08/05/2016 00:55:12,10572.3275963865
08/05/2016 01:10:12,10207.4734559761
08/05/2016 01:25:12,10356.5605016884
08/05/2016 01:40:12,11008.8102007675
08/05/2016 01:55:12,11198.3565249823
08/05/2016 02:10:12,10855.4796796718
08/05/2016 02:25:12,10430.9148923583
08/05/2016 02:40:12,10065.7322124935
08/05/2016 02:55:12,10212.0614430789
08/05/2016 03:10:12,10792.0895944009
08/05/2016 03:25:12,10845.7520652718
08/05/2016 03:40:12,10377.9889359477
08/05/2016 03:55:12,9976.72842500342
08/05/2016 04:10:12,10073.2062640771
08/05/2016 04:25:12,11027.0801947942
08/05/2016 04:40:12,11530.3655699762
08/05/2016 04:55:12,11080.9607342886
08/05/2016 05:10:12,11053.260583547
08/05/2016 05:25:12,11513.9996253544
08/05/2016 05:40:12,11524.7866129256
08/05/2016 05:55:12,11026.2377203567
08/05/2016 06:10:12,10942.9813682066
