;Date	Time	CMS
8/1/2016	13:40	2.576884877
8/1/2016	13:45	2.568024597
8/1/2016	13:50	2.559164318
8/1/2016	13:55	2.550304038
8/1/2016	14:00	2.541443759
8/1/2016	14:05	2.532583479
8/1/2016	14:10	2.5237232
8/1/2016	14:15	2.514862921
8/1/2016	14:20	2.506002641
8/1/2016	14:25	2.497142362
8/1/2016	14:30	2.488282082
8/1/2016	14:35	2.479421803
8/1/2016	14:40	2.470561523
8/1/2016	14:45	2.461701244
8/1/2016	14:50	2.452840965
8/1/2016	14:55	2.443980685
8/1/2016	15:00	2.435120406
8/1/2016	15:05	2.426260126
8/1/2016	15:10	2.417399847
8/1/2016	15:15	2.408539567
8/1/2016	15:20	2.399679288
8/1/2016	15:25	2.390819009
8/1/2016	15:30	2.381958729
8/1/2016	15:35	2.37309845
8/1/2016	15:40	2.36423817
8/1/2016	15:45	2.355377891
8/1/2016	15:50	2.346517612
8/1/2016	15:55	2.337657332
8/1/2016	16:00	2.328797053
8/1/2016	16:05	2.319936773
8/1/2016	16:10	2.311076494
8/1/2016	16:15	2.302216214
8/1/2016	16:20	2.293355935
8/1/2016	16:25	2.284495656
8/1/2016	16:30	2.275635376
8/1/2016	16:35	2.266775097
8/1/2016	16:40	2.257914817
8/1/2016	16:45	2.249054538
8/1/2016	16:50	2.240194258
8/1/2016	16:55	2.231333979
8/1/2016	17:00	2.2224737
8/1/2016	17:05	2.21361342
8/1/2016	17:10	2.204753141
8/1/2016	17:15	2.195892861
8/1/2016	17:20	2.187032582
8/1/2016	17:25	2.178172302
8/1/2016	17:30	2.169312023
8/1/2016	17:35	2.160451744
8/1/2016	17:40	2.151591464
8/1/2016	17:45	2.142731185
8/1/2016	17:50	2.133870905
8/1/2016	17:55	2.125010626
8/1/2016	18:00	2.116150347
8/1/2016	18:05	2.107290067
8/1/2016	18:10	2.098429788
8/1/2016	18:15	2.089569508
8/1/2016	18:20	2.080709229
8/1/2016	18:25	2.071848949
8/1/2016	18:30	2.06298867
8/1/2016	18:35	2.054128391
8/1/2016	18:40	2.045268111
8/1/2016	18:45	2.036407832
8/1/2016	18:50	2.027547552
8/1/2016	18:55	2.018687273
8/1/2016	19:00	2.009826993
8/1/2016	19:05	2.000966714
8/1/2016	19:10	1.992106435
8/1/2016	19:15	1.983246155
8/1/2016	19:20	1.974385876
8/1/2016	19:25	1.965525596
8/1/2016	19:30	1.956665317
8/1/2016	19:35	1.947805037
8/1/2016	19:40	1.938944758
8/1/2016	19:45	1.930084479
8/1/2016	19:50	1.921224199
8/1/2016	19:55	1.91236392
8/1/2016	20:00	1.90350364
8/1/2016	20:05	1.894643361
8/1/2016	20:10	1.885783082
8/1/2016	20:15	1.876922802
8/1/2016	20:20	1.868062523
8/1/2016	20:25	1.859202243
8/1/2016	20:30	1.850341964
8/1/2016	20:35	1.841481684
8/1/2016	20:40	1.832621405
8/1/2016	20:45	1.823761126
8/1/2016	20:50	1.814900846
8/1/2016	20:55	1.806040567
8/1/2016	21:00	1.797180287
8/1/2016	21:05	1.788320008
8/1/2016	21:10	1.779459728
8/1/2016	21:15	1.770599449
8/1/2016	21:20	1.76173917
8/1/2016	21:25	1.75287889
8/1/2016	21:30	1.744018611
8/1/2016	21:35	1.735158331
8/1/2016	21:40	1.726298052
8/1/2016	21:45	1.717437773
8/1/2016	21:50	1.708577493
8/1/2016	21:55	1.699717214
8/1/2016	22:00	1.690856934
8/1/2016	22:05	1.681996655
8/1/2016	22:10	1.673136375
8/1/2016	22:15	1.664276096
8/1/2016	22:20	1.655415817
8/1/2016	22:25	1.646555537
8/1/2016	22:30	1.637695258
8/1/2016	22:35	1.628834978
8/1/2016	22:40	1.619974699
8/1/2016	22:45	1.611114419
8/1/2016	22:50	1.60225414
8/1/2016	22:55	1.593393861
8/1/2016	23:00	1.584533581
8/1/2016	23:05	1.575673302
8/1/2016	23:10	1.566813022
8/1/2016	23:15	1.557952743
8/1/2016	23:20	1.549092463
8/1/2016	23:25	1.540232184
8/1/2016	23:30	1.531371905
8/1/2016	23:35	1.522511625
8/1/2016	23:40	1.513651346
8/1/2016	23:45	1.504791066
8/1/2016	23:50	1.495930787
8/1/2016	23:55	1.487070508
8/2/2016	0:00	1.344390753
8/2/2016	0:05	1.352426113
8/2/2016	0:10	1.360461472
8/2/2016	0:15	1.368496831
8/2/2016	0:20	1.37653219
8/2/2016	0:25	1.38456755
8/2/2016	0:30	1.392602909
8/2/2016	0:35	1.400638268
8/2/2016	0:40	1.408673627
8/2/2016	0:45	1.416708987
8/2/2016	0:50	1.424744346
8/2/2016	0:55	1.432779705
8/2/2016	1:00	1.440815064
8/2/2016	1:05	1.448850424
8/2/2016	1:10	1.456885783
8/2/2016	1:15	1.464921142
