;Date	Time	CMS
8/1/2016	0:00	1.097135616
8/1/2016	0:05	1.105965971
8/1/2016	0:10	1.114796326
8/1/2016	0:15	1.123626682
8/1/2016	0:20	1.132457037
8/1/2016	0:25	1.141287393
8/1/2016	0:30	1.150117748
8/1/2016	0:35	1.158948104
8/1/2016	0:40	1.167778459
8/1/2016	0:45	1.176608815
8/1/2016	0:50	1.18543917
8/1/2016	0:55	1.194269526
8/1/2016	1:00	1.203099881
8/1/2016	1:05	1.211930237
8/1/2016	1:10	1.220760592
8/1/2016	1:15	1.229590948
8/1/2016	1:20	1.238421303
8/1/2016	1:25	1.247251659
8/1/2016	1:30	1.256082014
8/1/2016	1:35	1.264912369
8/1/2016	1:40	1.273742725
8/1/2016	1:45	1.28257308
8/1/2016	1:50	1.291403436
8/1/2016	1:55	1.300233791
8/1/2016	2:00	1.309064147
8/1/2016	2:05	1.317894502
8/1/2016	2:10	1.326724858
8/1/2016	2:15	1.335555213
8/1/2016	2:20	1.344385569
8/1/2016	2:25	1.353215924
8/1/2016	2:30	1.36204628
8/1/2016	2:35	1.370876635
8/1/2016	2:40	1.379706991
8/1/2016	2:45	1.388537346
8/1/2016	2:50	1.397367702
8/1/2016	2:55	1.406198057
8/1/2016	3:00	1.415028412
8/1/2016	3:05	1.423858768
8/1/2016	3:10	1.432689123
8/1/2016	3:15	1.441519479
8/1/2016	3:20	1.450349834
8/1/2016	3:25	1.45918019
8/1/2016	3:30	1.468010545
8/1/2016	3:35	1.476840901
8/1/2016	3:40	1.485671256
8/1/2016	3:45	1.494501612
8/1/2016	3:50	1.503331967
8/1/2016	3:55	1.512162323
8/1/2016	4:00	1.520992678
8/1/2016	4:05	1.529823034
8/1/2016	4:10	1.538653389
8/1/2016	4:15	1.547483744
8/1/2016	4:20	1.5563141
8/1/2016	4:25	1.565144455
8/1/2016	4:30	1.573974811
8/1/2016	4:35	1.582805166
8/1/2016	4:40	1.591635522
8/1/2016	4:45	1.600465877
8/1/2016	4:50	1.609296233
8/1/2016	4:55	1.618126588
8/1/2016	5:00	1.626956944
8/1/2016	5:05	1.635787299
8/1/2016	5:10	1.644617655
8/1/2016	5:15	1.65344801
8/1/2016	5:20	1.662278366
8/1/2016	5:25	1.671108721
8/1/2016	5:30	1.679939077
8/1/2016	5:35	1.688769432
8/1/2016	5:40	1.697599787
8/1/2016	5:45	1.706430143
8/1/2016	5:50	1.715260498
8/1/2016	5:55	1.724090854
8/1/2016	6:00	1.732921209
8/1/2016	6:05	1.741751565
8/1/2016	6:10	1.75058192
8/1/2016	6:15	1.759412276
8/1/2016	6:20	1.768242631
8/1/2016	6:25	1.777072987
8/1/2016	6:30	1.785903342
8/1/2016	6:35	1.794733698
8/1/2016	6:40	1.803564053
8/1/2016	6:45	1.812394409
8/1/2016	6:50	1.821224764
8/1/2016	6:55	1.83005512
8/1/2016	7:00	1.838885475
8/1/2016	7:05	1.84771583
8/1/2016	7:10	1.856546186
8/1/2016	7:15	1.865376541
8/1/2016	7:20	1.874206897
8/1/2016	7:25	1.883037252
8/1/2016	7:30	1.891867608
8/1/2016	7:35	1.900697963
8/1/2016	7:40	1.909528319
8/1/2016	7:45	1.918358674
8/1/2016	7:50	1.92718903
8/1/2016	7:55	1.936019385
8/1/2016	8:00	1.944849741
8/1/2016	8:05	1.953680096
8/1/2016	8:10	1.962510452
8/1/2016	8:15	1.971340807
8/1/2016	8:20	1.980171163
8/1/2016	8:25	1.989001518
8/1/2016	8:30	1.997831873
8/1/2016	8:35	2.006662229
8/1/2016	8:40	2.015492584
8/1/2016	8:45	2.02432294
8/1/2016	8:50	2.033153295
8/1/2016	8:55	2.041983651
8/1/2016	9:00	2.050814006
8/1/2016	9:05	2.059644362
8/1/2016	9:10	2.068474717
8/1/2016	9:15	2.077305073
8/1/2016	9:20	2.086135428
8/1/2016	9:25	2.094965784
8/1/2016	9:30	2.103796139
8/1/2016	9:35	2.112626495
8/1/2016	9:40	2.12145685
8/1/2016	9:45	2.130287205
8/1/2016	9:50	2.139117561
8/1/2016	9:55	2.147947916
8/1/2016	10:00	2.156778272
8/1/2016	10:05	2.165608627
8/1/2016	10:10	2.174438983
8/1/2016	10:15	2.183269338
8/1/2016	10:20	2.192099694
8/1/2016	10:25	2.200930049
8/1/2016	10:30	2.209760405
8/1/2016	10:35	2.21859076
8/1/2016	10:40	2.227421116
8/1/2016	10:45	2.236251471
8/1/2016	10:50	2.245081827
8/1/2016	10:55	2.253912182
8/1/2016	11:00	2.262742538
8/1/2016	11:05	2.271572893
8/1/2016	11:10	2.280403248
8/1/2016	11:15	2.289233604
8/1/2016	11:20	2.298063959
8/1/2016	11:25	2.306894315
8/1/2016	11:30	2.31572467
8/1/2016	11:35	2.324555026
8/1/2016	11:40	2.333385381
8/1/2016	11:45	2.342215737
8/1/2016	11:50	2.351046092
8/1/2016	11:55	2.359876448
8/1/2016	12:00	2.368706803
8/1/2016	12:05	2.359876448
8/1/2016	12:10	2.351046092
8/1/2016	12:15	2.342215737
8/1/2016	12:20	2.333385381
8/1/2016	12:25	2.324555026
8/1/2016	12:30	2.31572467
8/1/2016	12:35	2.306894315
8/1/2016	12:40	2.298063959
8/1/2016	12:45	2.289233604
8/1/2016	12:50	2.280403248
8/1/2016	12:55	2.271572893
8/1/2016	13:00	2.262742538
8/1/2016	13:05	2.253912182
8/1/2016	13:10	2.245081827
8/1/2016	13:15	2.236251471
8/1/2016	13:20	2.227421116
8/1/2016	13:25	2.21859076
8/1/2016	13:30	2.209760405
8/1/2016	13:35	2.200930049
8/1/2016	13:40	2.192099694
