DateTime,River,P00,P01,P02,P03
03-Aug-2016 16:00:00,32.0082989690722,22.4051237113402,22.5931134020619,22.1504329896907,22.210793814433
04-Aug-2016 16:00:00,32.1008762886598,22.4358762886598,22.5675051546392,22.1621649484536,22.2326701030928
05-Aug-2016 16:00:00,31.9344536082474,22.446381443299,22.5601030927835,22.1725360824742,22.2267010309278
06-Aug-2016 16:00:00,32.1199381443299,23.0877216494845,22.5867422680412,22.1863608247423,22.2409690721649
07-Aug-2016 16:00:00,32.1490206185567,24.4525463917526,22.6265463917526,22.2091649484536,22.2567216494845
08-Aug-2016 16:00:00,32.1204742268041,25.5147525773196,22.7033608247423,22.238175257732,22.2794948453608
09-Aug-2016 16:00:00,32.0082886597938,25.0177422680412,22.8320515463918,22.3031649484536,22.3757628865979
10-Aug-2016 16:00:00,32.2207835051546,27.4390927835051,23.1050515463918,22.2065154639175,22.322381443299
11-Aug-2016 16:00:00,32.0958556701031,28.5614845360825,24.0805051546392,22.2668041237113,22.3582164948454
12-Aug-2016 16:00:00,31.7798453608247,28.4622268041237,24.2014536082474,22.3856391752577,22.4215979381443
13-Aug-2016 16:00:00,30.6764020618557,27.6721649484536,23.920175257732,22.4267319587629,22.4537319587629
14-Aug-2016 16:00:00,28.5927319587629,26.8239072164948,24.0276804123711,22.5340721649484,22.4932989690722
15-Aug-2016 16:00:00,27.3065257731959,26.6205154639175,25.1153195876289,23.4169587628866,22.7972989690722
16-Aug-2016 16:00:00,26.1904432989691,26.1629278350515,25.9976288659794,25.1995360824742,24.7888865979381
17-Aug-2016 16:00:00,26.3694226804124,26.2385979381443,26.2733711340206,25.8980206185567,25.7082268041237
18-Aug-2016 16:00:00,27.0680412371134,25.904,25.885381443299,25.4249896907217,25.1697010309278
19-Aug-2016 16:00:00,28.3013505154639,25.3517422680412,25.3357835051546,24.8133711340206,24.5694845360825
20-Aug-2016 16:00:00,26.0167835051546,25.3974226804124,25.0864845360825,24.8649587628866,24.8612474226804
21-Aug-2016 16:00:00,26.3457113402062,25.6944639175258,25.7515051546392,25.383824742268,25.569412371134
22-Aug-2016 16:00:00,27.4765567010309,25.3600103092784,25.4255567010309,24.983793814433,24.8747525773196
23-Aug-2016 16:00:00,28.1988762886598,25.0458350515464,25.1903711340206,24.7066701030928,24.6391443298969
24-Aug-2016 16:00:00,28.4343402061855,25.0171546391753,25.0062577319588,24.5752783505155,24.5450824742268
25-Aug-2016 16:00:00,29.1439072164949,24.8163298969072,24.8957216494846,24.4723195876289,24.4629175257732
26-Aug-2016 16:00:00,29.3070206185567,24.555618556701,24.7204639175258,24.3201030927835,24.3486907216495
27-Aug-2016 16:00:00,29.4167731958763,24.4068762886598,24.5965360824742,24.2133917525773,24.2376288659794
28-Aug-2016 16:00:00,28.7947628865979,24.3779484536082,24.5472577319588,24.1592577319587,24.1715360824742
29-Aug-2016 16:00:00,28.4630515463918,24.3601855670103,24.4839793814433,24.1116907216495,24.1105773195876
30-Aug-2016 16:00:00,28.8578659793814,24.3694329896907,24.4203402061856,24.0719896907217,24.073206185567
31-Aug-2016 16:00:00,29.468587628866,24.3255154639175,24.371,24.0332680412371,24.0257113402062
01-Sep-2016 16:00:00,29.7440103092783,24.1676804123711,24.2904226804124,23.9702474226804,23.9401237113402
02-Sep-2016 16:00:00,29.4876804123711,24.0836701030928,24.2016804123711,23.9072268041237,23.8791340206186
03-Sep-2016 16:00:00,29.8181134020619,23.9967525773196,24.1415979381443,23.8511855670103,23.8219484536082
04-Sep-2016 16:00:00,29.5706701030928,23.9179690721649,24.0742680412371,23.7905051546392,23.7541958762887
05-Sep-2016 16:00:00,28.9316391752577,23.885206185567,24.0156701030928,23.7368556701031,23.7068659793814
06-Sep-2016 16:00:00,29.5134742268041,23.8654948453608,23.9782886597938,23.693793814433,23.6654742268041
07-Sep-2016 16:00:00,30.1561443298969,23.8377010309278,23.9496288659793,23.6586804123711,23.6264329896907
08-Sep-2016 16:00:00,30.2540618556701,23.8334020618557,23.92,23.6241958762887,23.5893608247423
09-Sep-2016 16:00:00,30.078824742268,23.8643608247423,23.8965257731959,23.592793814433,23.5606391752577
10-Sep-2016 16:00:00,29.3825773195876,23.8480515463918,23.8903505154639,23.5710206185567,23.5441134020618
11-Sep-2016 16:00:00,29.2957731958763,23.7457010309278,23.8617113402062,23.5468144329897,23.5065257731959
12-Sep-2016 16:00:00,29.4798041237113,23.6925463917526,23.8195360824742,23.5153092783505,23.4776082474227
